id,collected_at,rate_date,series_key,series_label,rate,source
2,2026-06-13T20:19:16.301373,2026-06-12,gov_bond_2y,Statsobligation 2 år,2.309,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
3,2026-06-13T20:19:49.540692,2026-06-12,gov_bond_5y,Statsobligation 5 år,2.509,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
1,2026-06-13T20:19:49.180504,2026-06-12,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
508,2026-06-13T20:17:20.012033,2026-06-11,gov_bond_2y,Statsobligation 2 år,2.34,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
1011,2026-06-13T20:19:49.539401,2026-06-11,gov_bond_5y,Statsobligation 5 år,2.507,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
258,2026-06-13T20:19:49.179174,2026-06-11,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
507,2026-06-13T20:17:20.010770,2026-06-10,gov_bond_2y,Statsobligation 2 år,2.35,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
1010,2026-06-13T20:19:49.538089,2026-06-10,gov_bond_5y,Statsobligation 5 år,2.543,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
257,2026-06-13T20:19:49.177550,2026-06-10,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
506,2026-06-13T20:17:20.009421,2026-06-09,gov_bond_2y,Statsobligation 2 år,2.349,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
1009,2026-06-13T20:19:49.536678,2026-06-09,gov_bond_5y,Statsobligation 5 år,2.533,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
256,2026-06-13T20:19:49.176124,2026-06-09,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
505,2026-06-13T20:17:20.007884,2026-06-08,gov_bond_2y,Statsobligation 2 år,2.375,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
1008,2026-06-13T20:19:49.535349,2026-06-08,gov_bond_5y,Statsobligation 5 år,2.57,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
255,2026-06-13T20:19:49.174776,2026-06-08,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
504,2026-06-13T20:17:20.006739,2026-06-05,gov_bond_2y,Statsobligation 2 år,2.343,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
1007,2026-06-13T20:19:49.534018,2026-06-05,gov_bond_5y,Statsobligation 5 år,2.543,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
254,2026-06-13T20:19:49.173388,2026-06-05,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
503,2026-06-13T20:17:20.005548,2026-06-04,gov_bond_2y,Statsobligation 2 år,2.331,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
1006,2026-06-13T20:19:49.532690,2026-06-04,gov_bond_5y,Statsobligation 5 år,2.513,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
253,2026-06-13T20:19:49.172032,2026-06-04,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
502,2026-06-13T20:17:20.004254,2026-06-03,gov_bond_2y,Statsobligation 2 år,2.301,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
1005,2026-06-13T20:19:49.531239,2026-06-03,gov_bond_5y,Statsobligation 5 år,2.518,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
252,2026-06-13T20:19:49.170671,2026-06-03,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
501,2026-06-13T20:17:20.002901,2026-06-02,gov_bond_2y,Statsobligation 2 år,2.274,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
1004,2026-06-13T20:19:49.529637,2026-06-02,gov_bond_5y,Statsobligation 5 år,2.466,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
251,2026-06-13T20:19:49.169292,2026-06-02,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
500,2026-06-13T20:17:20.001571,2026-06-01,gov_bond_2y,Statsobligation 2 år,2.307,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
1003,2026-06-13T20:19:49.528322,2026-06-01,gov_bond_5y,Statsobligation 5 år,2.509,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
250,2026-06-13T20:19:49.167854,2026-06-01,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
499,2026-06-13T20:17:20.000329,2026-05-29,gov_bond_2y,Statsobligation 2 år,2.253,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
1002,2026-06-13T20:19:49.527037,2026-05-29,gov_bond_5y,Statsobligation 5 år,2.444,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
249,2026-06-13T20:19:49.166226,2026-05-29,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
498,2026-06-13T20:17:19.999060,2026-05-28,gov_bond_2y,Statsobligation 2 år,2.195,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
1001,2026-06-13T20:19:49.525703,2026-05-28,gov_bond_5y,Statsobligation 5 år,2.402,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
248,2026-06-13T20:19:49.164921,2026-05-28,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
497,2026-06-13T20:17:19.997412,2026-05-27,gov_bond_2y,Statsobligation 2 år,2.193,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
1000,2026-06-13T20:19:49.524392,2026-05-27,gov_bond_5y,Statsobligation 5 år,2.366,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
247,2026-06-13T20:19:49.163554,2026-05-27,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
496,2026-06-13T20:17:19.995717,2026-05-26,gov_bond_2y,Statsobligation 2 år,2.185,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
999,2026-06-13T20:19:49.523006,2026-05-26,gov_bond_5y,Statsobligation 5 år,2.385,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
246,2026-06-13T20:19:49.162232,2026-05-26,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
495,2026-06-13T20:17:19.994270,2026-05-25,gov_bond_2y,Statsobligation 2 år,2.146,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
998,2026-06-13T20:19:49.521654,2026-05-25,gov_bond_5y,Statsobligation 5 år,2.362,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
245,2026-06-13T20:19:49.160707,2026-05-25,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
494,2026-06-13T20:17:19.992569,2026-05-22,gov_bond_2y,Statsobligation 2 år,2.265,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
997,2026-06-13T20:19:49.520373,2026-05-22,gov_bond_5y,Statsobligation 5 år,2.47,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
244,2026-06-13T20:19:49.159369,2026-05-22,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
493,2026-06-13T20:17:19.991352,2026-05-21,gov_bond_2y,Statsobligation 2 år,2.305,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
996,2026-06-13T20:19:49.518983,2026-05-21,gov_bond_5y,Statsobligation 5 år,2.524,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
243,2026-06-13T20:19:49.158046,2026-05-21,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
492,2026-06-13T20:17:19.990143,2026-05-20,gov_bond_2y,Statsobligation 2 år,2.349,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
995,2026-06-13T20:19:49.517628,2026-05-20,gov_bond_5y,Statsobligation 5 år,2.588,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
242,2026-06-13T20:19:49.156645,2026-05-20,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
491,2026-06-13T20:17:19.988929,2026-05-19,gov_bond_2y,Statsobligation 2 år,2.38,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
994,2026-06-13T20:19:49.515880,2026-05-19,gov_bond_5y,Statsobligation 5 år,2.604,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
241,2026-06-13T20:19:49.155322,2026-05-19,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
490,2026-06-13T20:17:19.987709,2026-05-18,gov_bond_2y,Statsobligation 2 år,2.371,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
993,2026-06-13T20:19:49.513893,2026-05-18,gov_bond_5y,Statsobligation 5 år,2.575,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
240,2026-06-13T20:19:49.153870,2026-05-18,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
489,2026-06-13T20:17:19.986517,2026-05-15,gov_bond_2y,Statsobligation 2 år,2.386,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
992,2026-06-13T20:19:49.512602,2026-05-15,gov_bond_5y,Statsobligation 5 år,2.595,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
239,2026-06-13T20:19:49.152550,2026-05-15,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
488,2026-06-13T20:17:19.985343,2026-05-13,gov_bond_2y,Statsobligation 2 år,2.349,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
991,2026-06-13T20:19:49.511290,2026-05-13,gov_bond_5y,Statsobligation 5 år,2.536,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
238,2026-06-13T20:19:49.151262,2026-05-13,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
487,2026-06-13T20:17:19.984049,2026-05-12,gov_bond_2y,Statsobligation 2 år,2.363,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
990,2026-06-13T20:19:49.509871,2026-05-12,gov_bond_5y,Statsobligation 5 år,2.549,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
237,2026-06-13T20:19:49.149654,2026-05-12,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
486,2026-06-13T20:17:19.982818,2026-05-11,gov_bond_2y,Statsobligation 2 år,2.306,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
989,2026-06-13T20:19:49.508559,2026-05-11,gov_bond_5y,Statsobligation 5 år,2.488,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
236,2026-06-13T20:19:49.148218,2026-05-11,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
